Model,Modality,Acceleration Rate,SSIM
AFT-Net (I),T2w on 1.5T,2x,0.9716608253544008
AFT-Net (I),T2w on 1.5T,2x,0.9707454671214996
AFT-Net (I),T2w on 1.5T,2x,0.9705072148926106
AFT-Net (I),T2w on 1.5T,2x,0.9526076145188036
AFT-Net (I),T2w on 1.5T,2x,0.9607931442666624
AFT-Net (I),T2w on 1.5T,2x,0.9660058225804607
AFT-Net (I),T2w on 1.5T,2x,0.9211628931488282
AFT-Net (I),T2w on 1.5T,2x,0.969494182860513
AFT-Net (I),T2w on 1.5T,2x,0.966592022053232
AFT-Net (I),T2w on 1.5T,2x,0.9676192768869116
AFT-Net (I),T2w on 1.5T,2x,0.967521057155492
AFT-Net (I),T2w on 1.5T,2x,0.9784425564196472
AFT-Net (I),T2w on 1.5T,2x,0.9667656026941076
AFT-Net (I),T2w on 1.5T,2x,0.9678046783455152
AFT-Net (I),T2w on 1.5T,2x,0.9696687460019476
AFT-Net (I),T2w on 1.5T,2x,0.9709344826955476
AFT-Net (I),T2w on 1.5T,2x,0.9685470508809236
AFT-Net (I),T2w on 1.5T,2x,0.9758817969113416
AFT-Net (I),T2w on 1.5T,2x,0.9665484870764276
AFT-Net (I),T2w on 1.5T,2x,0.9750270698482068
AFT-Net (I),T2w on 1.5T,2x,0.9765789233878284
AFT-Net (I),T2w on 1.5T,2x,0.9728138349683798
AFT-Net (I),T2w on 1.5T,2x,0.9723978830455476
AFT-Net (I),T2w on 1.5T,2x,0.9742272605337636
AFT-Net (I),T2w on 1.5T,2x,0.9715742240486384
AFT-Net (I),T2w on 1.5T,2x,0.9631249269216132
AFT-Net (I),T2w on 1.5T,2x,0.9720854646493768
AFT-Net (I),T2w on 1.5T,2x,0.9404466259512864
AFT-Net (I),T2w on 1.5T,2x,0.9737568764664551
AFT-Net (I),T2w on 1.5T,2x,0.970430149488478
AFT-Net (I),T2w on 1.5T,2x,0.9593630497606648
AFT-Net (I),T2w on 1.5T,2x,0.942297527481222
AFT-Net (I),T2w on 1.5T,2x,0.9539454599976092
AFT-Net (I),T2w on 1.5T,2x,0.9606278988146192
AFT-Net (I),T2w on 1.5T,2x,0.9623852523292454
AFT-Net (I),T2w on 1.5T,2x,0.936109238571698
AFT-Net (I),T2w on 1.5T,2x,0.954592606571766
AFT-Net (I),T2w on 1.5T,2x,0.9423433134461204
AFT-Net (I),T2w on 1.5T,2x,0.955136123495145
AFT-Net (I),T2w on 1.5T,2x,0.956135908735039
AFT-Net (I),T2w on 1.5T,2x,0.9646378358171136
AFT-Net (I),T2w on 1.5T,2x,0.9509111760426748
AFT-Net (I),T2w on 1.5T,2x,0.9607050211655432
AFT-Net (I),T2w on 1.5T,2x,0.9455954639490244
AFT-Net (I),T2w on 1.5T,2x,0.967903458812987
AFT-Net (I),T2w on 1.5T,2x,0.9720094668701388
