Model,Acceleration Rate,SSIM
Zero Filling,1x,1.0
Zero Filling,2x,0.962145716
Zero Filling,2x,0.961288372
Zero Filling,2x,0.961364328
Zero Filling,2x,0.960823052
Zero Filling,2x,0.954878782
Zero Filling,2x,0.954717174
Zero Filling,2x,0.953697784
Zero Filling,2x,0.952943671
Zero Filling,2x,0.956062436
Zero Filling,2x,0.957067685
Zero Filling,2x,0.957052536
Zero Filling,2x,0.956101081
Zero Filling,2x,0.969157783
Zero Filling,2x,0.969495466
Zero Filling,2x,0.969023427
Zero Filling,2x,0.969024049
Zero Filling,2x,0.974054903
Zero Filling,2x,0.974175032
Zero Filling,2x,0.974676329
Zero Filling,2x,0.973828756
Zero Filling,2x,0.956467439
Zero Filling,2x,0.973186902
Zero Filling,2x,0.972924244
Zero Filling,2x,0.974673123
Zero Filling,2x,0.966462228
Zero Filling,2x,0.97373014
Zero Filling,2x,0.974062874
Zero Filling,2x,0.95754995
Zero Filling,2x,0.958287097
Zero Filling,2x,0.958412453
Zero Filling,2x,0.958462198
Zero Filling,2x,0.957463995
Zero Filling,2x,0.961500278
Zero Filling,2x,0.961906854
Zero Filling,2x,0.9622647
Zero Filling,2x,0.962562421
Zero Filling,2x,0.948515638
Zero Filling,2x,0.946756744
Zero Filling,2x,0.947807302
Zero Filling,2x,0.946410561
Zero Filling,2x,0.94530676
Zero Filling,2x,0.94923299
Zero Filling,2x,0.947898328
Zero Filling,2x,0.945228621
Zero Filling,2x,0.957235029
Zero Filling,2x,0.95730474
Zero Filling,2x,0.956969011
Zero Filling,2x,0.957617798
Zero Filling,2x,0.92999547
Zero Filling,2x,0.929107072
Zero Filling,2x,0.930062683
Zero Filling,2x,0.92799118
Zero Filling,2x,0.958903384
Zero Filling,2x,0.959796349
Zero Filling,2x,0.95975154
Zero Filling,2x,0.960458696
Zero Filling,2x,0.9757046
Zero Filling,2x,0.974963875
Zero Filling,2x,0.97376184
Zero Filling,2x,0.970417792
Zero Filling,2x,0.941268845
Zero Filling,2x,0.939447968
Zero Filling,2x,0.938593705
Zero Filling,2x,0.939341301
Zero Filling,2x,0.964111199
Zero Filling,2x,0.962093961
Zero Filling,2x,0.963291712
Zero Filling,2x,0.964964892
Zero Filling,2x,0.902935284
Zero Filling,2x,0.903232681
Zero Filling,2x,0.897871077
Zero Filling,2x,0.89730506
Zero Filling,2x,0.949332182
